,Frequency,Feature
104,0.22236431845714302,Census_OSVersion_10.0.10586.494
105,0.21795379627349126,Census_OSVersion_10.0.14393.1358
106,0.21779998155656405,Census_OSVersion_10.0.14393.1884
107,0.2166966127636872,Census_OSVersion_10.0.15063.608
108,0.21439878413636448,Census_OSVersion_10.0.10586.218
109,0.21307878630154703,Census_OSVersion_10.0.10586.420
110,0.20146925796355192,Census_OSVersion_10.0.14393.447
111,0.18731442317471372,Census_OSVersion_10.0.10586.104
112,0.18595011352435334,Census_OSVersion_10.0.14393.953
113,0.1831239897001834,Census_OSVersion_10.0.14393.351
114,0.182517788317988,Census_OSVersion_10.0.10586.753
115,0.17761722967029886,EngineVersion_1.1.14306.0
116,0.17560373184119107,Census_OSVersion_10.0.14393.2068
117,0.17245219336208156,Census_OSVersion_10.0.15063.413
118,0.17040578693678365,Census_OSVersion_10.0.14393.576
119,0.16915595318168342,Census_MDC2FormFactor_SmallTablet
120,0.1676390785372206,SmartScreen_Block
121,0.16623615020747476,Census_OSVersion_10.0.14393.1715
122,0.1642294825793761,Census_OSVersion_10.0.16299.579
123,0.16174844078126846,Census_OSVersion_10.0.16299.551
124,0.15912067792109202,Census_OSVersion_10.0.16299.98
125,0.1588459545970758,Census_OSVersion_10.0.15063.250
126,0.15116660774834265,AV_states_1_1
127,0.1486069588913728,Census_OSVersion_10.0.14393.187
128,0.14667690259632002,Census_OSVersion_10.0.10586.1045
129,0.1454249437877602,Census_OSVersion_10.0.14393.2125
130,0.14252393108470632,Census_OSVersion_10.0.10586.122
131,0.14112263538673758,Census_OSVersion_10.0.16299.461
132,0.13980741220536666,Census_OSVersion_10.0.10586.916
133,0.13882478366613568,Census_OSVersion_10.0.16299.251
134,0.1381497859381944,Census_OSVersion_10.0.16299.214
135,0.11589431259626669,Census_OSVersion_10.0.16299.402
136,0.1139858295940388,EngineVersion_1.1.14202.0
137,0.11239573576191328,Census_OSVersion_10.0.10586.36
138,0.11032783033353695,Census_OSVersion_10.0.16299.64
139,0.10826229697694752,Census_OSVersion_10.0.17134.319
140,0.10764608795590393,Census_OSVersion_10.0.15063.332
141,0.10586714748407132,Census_OSVersion_10.0.10586.589
142,0.10131939926364501,Census_OSVersion_10.0.10240.16405
143,0.10066730145489759,EngineVersion_1.1.14003.0
144,0.09496857919610004,Census_OSVersion_10.0.10586.14
145,0.09194188725115078,Census_OSVersion_10.0.16299.522
146,0.09111924372376212,Census_OSVersion_10.0.16299.666
147,0.0900553051220983,Census_OSVersion_10.0.15063.296
148,0.08872291763796865,Census_OSVersion_10.0.10586.633
149,0.08600709242582837,EngineVersion_1.1.13303.0
150,0.08545616504815351,Census_OSVersion_10.0.10586.962
151,0.08462157709646675,Census_OSVersion_10.0.14393.321
152,0.08149263925798046,EngineVersion_1.1.13804.0
153,0.0806855106642395,Census_OSVersion_10.0.10586.63
154,0.07979282249766663,Census_OSVersion_10.0.15063.1209
155,0.07615084095614294,Census_OSVersion_10.0.16299.334
156,0.07580483584239942,Census_OSVersion_10.0.14393.1914
157,0.07481309543650874,Census_OSVersion_10.0.15063.632
158,0.07467719247758252,Census_OSVersion_10.0.14393.2430
159,0.07432529144733101,Census_OSVersion_10.0.16299.19
160,0.07368478938721625,Census_OSVersion_10.0.15063.1235
161,0.0716485830860095,Census_OSVersion_10.0.10586.713
162,0.07130467893852313,Census_OSVersion_10.0.10586.873
163,0.07047678719539088,EngineVersion_1.1.13704.0
164,0.07030190134090122,Census_OSVersion_10.0.10586.679
165,0.06980300122592693,Census_OSVersion_10.0.14393.2363
166,0.0678638149237898,Census_OSVersion_10.0.14393.5
167,0.06679743476806811,Census_OSVersion_10.0.10586.71
168,0.06587123473423083,Census_OSVersion_10.0.14393.479
169,0.06575220951794816,Census_OSVersion_10.0.10586.3
170,0.06297500364366988,Census_OSVersion_10.0.15063.138
171,0.06223560008599828,EngineVersion_1.1.13903.0
172,0.06121838319042486,EngineVersion_1.1.13407.0
173,0.05917037237026415,Census_OSVersion_10.0.10586.1007
174,0.05726074422351577,Census_OSVersion_10.0.17738.1000
175,0.05439233172337005,Census_OSVersion_10.0.15063.1182
176,0.050076724883767666,Census_OSVersion_10.0.10240.16487
177,0.04549562809915509,Census_OSVersion_10.0.10240.17946
178,0.04492166033315054,Census_OSVersion_10.0.15063.729
179,0.0421977694597855,EngineVersion_1.1.13701.0
180,0.04184082733529241,EngineVersion_1.1.13601.0
181,0.03924773684422523,Census_MDC2FormFactor_MediumServer
182,0.03881475720019401,Census_OSVersion_10.0.15063.877
183,0.03833858250656378,EngineVersion_1.1.15000.1
184,0.038056506561985,Census_OSVersion_10.0.10586.839
185,0.03766616562972971,Census_OSVersion_10.0.15063.502
186,0.03743510455426242,Census_OSVersion_10.0.14393.105
187,0.037118885605949115,EngineVersion_1.1.12902.0
188,0.03700022767003869,Census_OSVersion_10.0.14393.2485
189,0.03663395354189644,EngineVersion_1.1.13103.0
190,0.03640028974812257,Census_OSVersion_10.0.10586.446
191,0.03587774937320495,Census_OSVersion_10.0.10240.17071
192,0.03573841525241385,Census_OSVersion_10.0.14393.222
193,0.03520737746525296,Census_OSVersion_10.0.17746.1000
194,0.033860436108379154,Census_OSVersion_10.0.10586.29
195,0.033464198692262276,EngineVersion_1.1.13000.0
196,0.03321992214534497,Census_OSVersion_10.0.10586.17
197,0.03292835178677989,EngineVersion_1.1.14305.0
198,0.03281654350280578,Census_OSVersion_10.0.17692.1004
199,0.030258338017791625,Census_OSVersion_10.0.17735.1000
200,0.030143674340640202,Census_OSVersion_10.0.15063.1292
201,0.029994077461603354,EngineVersion_1.1.14700.4
202,0.029747824227672463,Census_OSVersion_10.0.10240.17319
203,0.029491734772020002,Census_OSVersion_10.0.14393.2368
204,0.02908283052818007,Census_OSVersion_10.0.16299.637
205,0.028881854697029623,Census_OSVersion_10.0.15063.11
206,0.02787144210881548,Census_OSVersion_10.0.14393.51
207,0.027260635502179255,Census_OSVersion_10.0.15063.13
208,0.027214376343171278,Census_OSVersion_10.0.15063.1112
209,0.025945240272923827,Census_OSVersion_10.0.10240.17831
210,0.02588791337836663,Census_OSVersion_10.0.10240.17914
211,0.02552372921928412,EngineVersion_1.1.13202.0
212,0.024607192328570823,EngineVersion_1.1.12805.0
213,0.02448844281817064,Census_OSVersion_10.0.10240.16445
214,0.024124529017653606,Census_MDC2FormFactor_SmallServer
215,0.023868053561814373,Census_OSVersion_10.0.14393.2035
216,0.023122054308704613,Census_OSVersion_10.0.14393.82
217,0.02297570909294551,Census_OSVersion_10.0.15063.447
218,0.022314047005146664,Census_OSVersion_10.0.17744.1001
219,0.021920463133630285,Census_OSVersion_10.0.17751.1
220,0.021717821923849835,Census_OSVersion_10.0.15063.1058
221,0.020828407543992147,Census_OSVersion_10.0.10240.16520
222,0.020163287556508553,Census_OSVersion_10.0.10240.17861
223,0.019834206559861338,Census_OSVersion_10.0.10240.17976
224,0.019348778609547146,Census_OSVersion_10.0.10240.17236
225,0.01924531868657492,Census_OSVersion_10.0.14393.2248
226,0.01917433944772539,Census_OSVersion_10.0.14393.969
227,0.01852428801739781,Census_OSVersion_10.0.10240.17889
228,0.018320949711712033,Census_OSVersion_10.0.14393.3
229,0.018191181929425457,Census_OSVersion_10.0.17754.1
